ID,Stepartist,Pack,Difficulty,Mode,Rating,Song,BPM,Steps,Measures,Length,16ths,24ths,32nds,Break,% Stream,Adj. % Stream,S/B Ratio,Density,Adj. Density,Breakdown,Tier,16ths Mod,16ths Rank,Diff Rating,Score,DP,EP,DP+EP,DP/EP,RP,AP,Total (no bonuses),Total,
23,Tuuc,The Starter Pack of Stamina,Expert,Single,13,March of the ants,134,1652,115,3.43,101,0,0,0,0.8783,0.9902,0,8.62,8.89,64 37,130,99.42098212,15,32,1,143,700,843,0,2000,1000,2843,3843,
24,ChasePines,The Joy of Streaming,Expert,Single,13,Veritas,135,2977,225,6.67,175,0,0,32,0.7778,0.8255,5.47,7.58,7.89,31 7 23 (27) 1 31 47 (5) 19 16,130,128.761306,18,32,1,167,850,1017,498,2000,1000,3017,4017,
25,yutsi,yutsi-type beats,Expert,Single,13,Deep Jungle Walk,138,3478,263,7.62,198,0,0,43,0.7529,0.8082,4.6,7.97,8.09,23 (2) 15 32 (4) 22 (2) 15 15 (33) 7 23 22 (2) 24,130,140.8300534,19,32,1,239,900,1139,846,2000,1000,3139,4139,
26,t3a,Unbuild of Sharpnel,Expert,Single,13,Love,133,3293,215,6.46,204,0,0,0,0.9488,1,0,8.66,8.88,204,130,204,20,32,1,120,950,1070,649,2000,1000,3070,4070,
27,Okami,StS,Expert,Single,13,Virtual Pilgrim,148,2146,156,4.22,119,0,0,0,0.7628,0.8623,0,8.76,9.31,1 3 3 3 3 3 3 7 7 15 7 7 15 3 3 3 11 7 7 8,140,93.88590115,14,32,1,477,650,1127,812,2000,1000,3127,4127,
28,t3a,Unbuild of Sharpnel,Expert,Single,13,YOU GET TO BURNING,140,1987,147,4.2,121,0,0,0,0.8231,0.9837,0,8.91,9.23,39 47 35,140,117.859785,17,32,1,286,800,1086,695,2000,1000,3086,4086,
29,HISA,The Joy Of Streaming 2,Expert,Single,13,My Only Shining Star (Danceforze Dance To Death Mix),145,2474,192,5.3,135,0,0,47,0.7031,0.7337,2.87,8.08,8.12,31 (21) 4 (8) 6 (2) 32 (8) 7 16 (8) 7 32,140,82.25520688,13,32,1,405,600,1005,463,2000,1000,3005,4005,
30,Archi,Pendulum Act III,Expert,Single,13,Set Me On Fire (Novice),140,2391,178,5.09,142,0,0,25,0.7978,0.8402,5.68,8.11,8.22,7 8 (6) 1 79 (19) 47,140,107.4733108,16,32,1,286,750,1036,552,2000,1000,3036,4036,
31,Rems,Eurobeat Is Fantastic - Second Stage,Expert,Single,13,Tokyo Lights,155,1528,111,2.86,88,0,0,0,0.7928,0.9565,0,9.49,10.1,23 15 23 15 12,150,81.95559944,12,32,1,643,550,1193,1000,2000,1000,3193,4193,
32,Okami,Cytus II,Expert,Single,13,CHAOS,150,1732,135,3.71,91,0,0,30,0.6741,0.7339,3.03,8.29,8.67,8 (16) 3 4 (5) 1 (2) 7 4 (4) 31 (3) 1 32,150,55.47028697,10,32,1,524,450,974,375,2000,1000,2974,3974,
33,Okami,Team Grimoire,Expert,Single,13,Aphasia,155,2057,150,3.98,97,0,0,42,0.6467,0.6736,2.31,8.91,8.86,41 (31) 9 (8) 32 1 1 1 1 1 (3) 10,150,51.54838457,7,32,1,643,300,943,286,2000,1000,2943,3943,
34,Okami,Stamina Showcase 3,Expert,Single,13,Purgatorium,150,1954,143,3.81,109,0,0,27,0.7622,0.7786,4.04,8.72,8.72,8 23 (4) 2 (4) 23 14 (8) 1 15 (4) 11 (5) 2 (2) 6 4,150,73.03474831,11,32,1,524,500,1024,518,2000,1000,3024,4024,
